0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.2699941,0.28031284,0.27087784,0.28420758,0.31602818,0.3088321,0.22030166,0.26710162,0.28789622,0.29747677,0.2826908,0.28474435,0.28991547,0.24576691,0.31338492,0.25618273
0.27564234,0.28282696,0.2825046,0.2779782,0.2849108,0.28180853,0.2559947,0.2778517,0.26424327,0.27305683,0.278564,0.28205293,0.29472378,0.2555146,0.3059294,0.26575795
0.29532126,0.33547267,0.30611572,0.32781532,0.3151866,0.2778356,0.31045973,0.25950366,0.30355564,0.29117662,0.3085497,0.31028846,0.2994525,0.28748292,0.36960208,0.33099008
0.28596446,0.27885967,0.28453726,0.2747382,0.3011473,0.26562142,0.2481524,0.26991925,0.26362658,0.28884602,0.26500297,0.27596027,0.28236154,0.22197635,0.29456183,0.2773149
0.27274677,0.22686605,0.26376465,0.25167337,0.23985747,0.18236917,0.22679022,0.24334525,0.2550714,0.23130336,0.23006201,0.20881161,0.28167653,0.24577476,0.27134874,0.27381247
0.2682459,0.2674427,0.264175,0.2656112,0.28300834,0.2652332,0.2618342,0.26062316,0.25970125,0.27319106,0.26080889,0.26114884,0.27385664,0.2357145,0.2852932,0.26861736
0.28631413,0.21700273,0.24146694,0.2740871,0.23167126,0.20793313,0.21594776,0.21879415,0.17890374,0.22352256,0.21511558,0.24282324,0.30160686,0.28599316,0.281481,0.2346206
0.27316114,0.2756451,0.2800664,0.25779003,0.2859091,0.27004603,0.26336634,0.2651806,0.26532093,0.2792645,0.27059445,0.26511285,0.2885553,0.23812523,0.28883582,0.27519423
0.16872229,0.15859108,0.15085448,0.15404761,0.15628952,0.17719905,0.14248715,0.12742788,0.15942682,0.14247757,0.12982333,0.13963416,0.13939461,0.12518725,0.1682077,0.112847336
0.2482236,0.26116008,0.25087172,0.23965095,0.2487477,0.23778836,0.22410856,0.24469744,0.23018113,0.25098455,0.23924041,0.24798639,0.2580244,0.21633674,0.25724065,0.24280909
0.2306049,0.25540644,0.32589003,0.3529019,0.29925254,0.31313065,0.23027486,0.2627134,0.25370312,0.32661504,0.30772534,0.3247813,0.3178739,0.33345768,0.32409373,0.28408423
0.1576386,0.17658637,0.16455178,0.1650302,0.1602893,0.15656489,0.13998762,0.16765404,0.10486005,0.14143752,0.16959862,0.18570958,0.13369365,0.111573964,0.1520991,0.14009933
0.2869531,0.2903647,0.30349028,0.2967559,0.30939776,0.29295734,0.27152908,0.29384348,0.2896666,0.29427466,0.29096135,0.27471894,0.29757342,0.26815963,0.31332618,0.28985077
