0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.309904,0.26235774,0.3187205,0.30492592,0.3203219,0.29349223,0.30184704,0.31905967,0.30251428,0.28326964,0.325355,0.30960062,0.3028322,0.2822595,0.28164655,0.33408216
0.2596972,0.20536393,0.24750572,0.30731407,0.29372552,0.2850329,0.29921356,0.24582648,0.26048118,0.25137067,0.2651751,0.31245366,0.24601316,0.27827597,0.33354607,0.26901633
0.34766385,0.31397158,0.4274814,0.3567453,0.39993113,0.3627157,0.44722313,0.3413275,0.3633479,0.38820916,0.39380902,0.41515094,0.32501736,0.32172742,0.37584648,0.35483208
0.2526742,0.26758415,0.40400833,0.24177496,0.23189849,0.28697097,0.31586832,0.2694233,0.28770483,0.2607658,0.34840083,0.35018864,0.2523005,0.25599277,0.38182053,0.39197677
0.34955934,0.33486474,0.30194378,0.41464275,0.40341032,0.33246496,0.45367604,0.3815495,0.37946814,0.40229812,0.4395621,0.3996631,0.40877095,0.40634793,0.36280972,0.4066324
0.34794444,0.34058222,0.38705942,0.36208895,0.31615382,0.4035971,0.35164383,0.37455514,0.42307276,0.38939297,0.43384337,0.399082,0.32817748,0.3468138,0.44929376,0.4984551
0.17414317,0.1407525,0.1940753,0.19955248,0.15396217,0.13382593,0.15614453,0.18913831,0.1617364,0.14440292,0.20034322,0.16776597,0.16391477,0.17849183,0.1892109,0.19400111
0.2345832,0.25552198,0.26843193,0.24745265,0.26565793,0.24914163,0.23987275,0.26767862,0.24040167,0.25436983,0.27556336,0.25350347,0.2491271,0.2691132,0.3362846,0.27406213
0.31605873,0.32047552,0.32354996,0.3777054,0.38810557,0.3841256,0.38508558,0.37867337,0.3707305,0.388745,0.3555014,0.3925525,0.38090923,0.38416514,0.4204237,0.3765347
0.24604787,0.26852933,0.23552854,0.24669527,0.26706168,0.24361241,0.2680088,0.25046393,0.29158956,0.2662258,0.23698094,0.29774427,0.2588254,0.19650386,0.2921926,0.22315636
0.33092108,0.36872193,0.37631363,0.38620886,0.39144218,0.46096233,0.47676742,0.4521306,0.36502928,0.46898887,0.4516062,0.39935908,0.41095275,0.43038446,0.40843993,0.3832186
0.15218121,0.19071347,0.22399993,0.22993633,0.19307677,0.19356036,0.21857585,0.1920012,0.19885977,0.1832952,0.28362656,0.23724264,0.21227923,0.18701982,0.19078825,0.22348574
0.28618345,0.255117,0.2787744,0.22149912,0.37819582,0.29584327,0.24640171,0.28763402,0.2895465,0.41245684,0.30939734,0.34413907,0.24961838,0.35634485,0.28694707,0.3789838
0.40077367,0.38280332,0.49411926,0.46751863,0.4005548,0.454793,0.47111687,0.4009095,0.38739553,0.43773758,0.44785064,0.4183742,0.3835725,0.41427517,0.47741917,0.46398488
0.2713111,0.23640178,0.268675,0.29253215,0.3203125,0.2957198,0.27873695,0.3231319,0.28996837,0.31416842,0.30875745,0.30243528,0.3068942,0.30062383,0.32076463,0.28718925
0.37156573,0.36473453,0.38584462,0.38301602,0.46926156,0.44692302,0.43763423,0.39774603,0.45286247,0.4003952,0.46857494,0.38324335,0.38042346,0.38733256,0.44556502,0.42496872
0.26720852,0.24315956,0.26234213,0.25050998,0.27196407,0.2611602,0.26104936,0.2502603,0.22678646,0.311193,0.26490873,0.24731839,0.24756537,0.2444262,0.28448388,0.24487059
0.3222009,0.30582112,0.33658418,0.33451113,0.41060677,0.28811327,0.32521078,0.35807335,0.3659783,0.3630137,0.35921836,0.3587214,0.33684003,0.32006866,0.3134237,0.3128986
0.36096355,0.3208039,0.33577046,0.29241592,0.43226895,0.46897137,0.38782603,0.3867672,0.4188365,0.41879886,0.45025742,0.30579284,0.38634676,0.3433902,0.41765103,0.39892757
0.38392252,0.4851584,0.5296809,0.32070982,0.59257776,0.50591695,0.4509813,0.4241908,0.46390557,0.48250479,0.46888426,0.4586937,0.4647323,0.43195572,0.5180894,0.49733448
0.30681136,0.3200152,0.37879804,0.29934257,0.33217254,0.48520124,0.3916078,0.34656173,0.3671923,0.33761603,0.42468354,0.37245002,0.38080272,0.3861702,0.43346742,0.32129645
0.21212244,0.2627451,0.30431935,0.22972111,0.28289047,0.3091674,0.24800321,0.2510961,0.25969854,0.30502382,0.2747864,0.23622754,0.22010398,0.23688911,0.32624358,0.35412437
0.41270232,0.33405113,0.390483,0.3922906,0.475456,0.56188494,0.43897316,0.3467754,0.43052396,0.4721031,0.35417143,0.38216892,0.30928424,0.43368578,0.31334502,0.50955284
0.29234168,0.38962764,0.2818927,0.31935325,0.3377913,0.36518538,0.4026509,0.30827215,0.3778127,0.35053045,0.38900048,0.33155656,0.4687168,0.35461003,0.40145957,0.32397762
0.25038674,0.22721455,0.2991116,0.27739418,0.2982067,0.26448086,0.28972232,0.29700905,0.30725384,0.27827996,0.29589662,0.27694666,0.29203907,0.30726868,0.2959988,0.32943958
0.09308641,0.09127096,0.08864757,0.11845955,0.09690659,0.10740938,0.10340811,0.10781279,0.09959872,0.113573164,0.119493015,0.08696326,0.10805713,0.096771844,0.109649986,0.1137474
0.35900956,0.3394151,0.41229525,0.3297977,0.43190974,0.3552619,0.43156922,0.40422973,0.4369638,0.4086301,0.44486898,0.3303502,0.37024754,0.34740776,0.35915408,0.40248814
0.3324839,0.300931,0.3550277,0.35911712,0.3893644,0.40933567,0.37469098,0.35546476,0.357631,0.3856735,0.38621074,0.36993128,0.30153945,0.3614298,0.35566816,0.41265842
0.22704685,0.22248214,0.25244102,0.2353499,0.27959797,0.27722925,0.29632586,0.23980303,0.23425269,0.23126504,0.2622594,0.22593427,0.24379571,0.23541199,0.2996721,0.2220208
0.45741618,0.5462202,0.53744036,0.4613126,0.6260053,0.53307766,0.55684996,0.53105193,0.45515975,0.5307135,0.4817662,0.44670746,0.49116594,0.52444756,0.60468954,0.6894066
0.2761863,0.32587782,0.31413785,0.3263826,0.32007048,0.31679845,0.33690163,0.2751591,0.27975777,0.27364573,0.3380897,0.3458203,0.27152544,0.31045595,0.3266775,0.3238304
0.31761348,0.41440862,0.4692654,0.44682223,0.42686972,0.34722114,0.4319851,0.4332074,0.42948976,0.42212352,0.38743323,0.46984383,0.34851554,0.3145423,0.43192947,0.4288014
0.24291103,0.24748528,0.28768238,0.28594965,0.2846757,0.21848911,0.3073531,0.25398505,0.28090322,0.3043583,0.26875362,0.28252319,0.22723335,0.25806606,0.3041576,0.26803553
0.30466068,0.28174546,0.29388583,0.28455156,0.33616102,0.28947198,0.2969459,0.3206515,0.34303537,0.34346774,0.32940757,0.35154846,0.31296483,0.299987,0.3147517,0.32744294
0.39922732,0.30186036,0.46535718,0.3778999,0.4402375,0.34894022,0.36725086,0.37250367,0.34915963,0.36334148,0.3526677,0.37265724,0.36306605,0.3832023,0.41117197,0.43509975
0.46826786,0.4675161,0.5212653,0.53630483,0.37771997,0.4675124,0.50807554,0.5365856,0.32714027,0.57491595,0.58745605,0.44213828,0.35657486,0.47720993,0.45400038,0.458254
0.23920915,0.22386827,0.29257345,0.26110408,0.29647368,0.21810931,0.3248896,0.29241762,0.27020413,0.25537658,0.29864693,0.2649699,0.29393515,0.2802525,0.21052918,0.29312038
0.2386789,0.2862443,0.31043765,0.3493398,0.31518984,0.34757096,0.31908938,0.2814942,0.25412652,0.2661446,0.28628108,0.3284909,0.28885585,0.32250068,0.29671556,0.3136377
0.24015036,0.19104746,0.2666281,0.21448989,0.28074753,0.18959007,0.1382625,0.28455034,0.2301803,0.23545986,0.26999143,0.2205169,0.24878508,0.18694948,0.24613538,0.22174981
